Fold1,Mean±Std
65.00,65.00±nan
21.67,21.67±nan
95.83,95.83±nan
100.00,100.00±nan
67.50,67.50±nan
99.17,99.17±nan
99.17,99.17±nan
100.00,100.00±nan
82.50,82.50±nan
78.33,78.33±nan
80.92,80.92±23.60
