Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
56.25,56.25±nan,100.0,64.0,0.001,0.0001,True,40.0
51.04,51.04±nan,,,,,,
89.06,89.06±nan,,,,,,
46.35,46.35±nan,,,,,,
39.58,39.58±nan,,,,,,
73.44,73.44±nan,,,,,,
53.12,53.12±nan,,,,,,
40.62,40.62±nan,,,,,,
39.06,39.06±nan,,,,,,
56.77,56.77±nan,,,,,,
10.94,10.94±nan,,,,,,
29.17,29.17±nan,,,,,,
22.40,22.40±nan,,,,,,
45.83,45.83±nan,,,,,,
53.12,53.12±nan,,,,,,
38.02,38.02±nan,,,,,,
44.79,44.79±nan,,,,,,
67.19,67.19±nan,,,,,,
32.29,32.29±nan,,,,,,
37.50,37.50±nan,,,,,,
23.44,23.44±nan,,,,,,
79.17,79.17±nan,,,,,,
19.79,19.79±nan,,,,,,
69.79,69.79±nan,,,,,,
50.00,50.00±nan,,,,,,
53.65,53.65±nan,,,,,,
36.98,36.98±nan,,,,,,
63.02,63.02±nan,,,,,,
20.83,20.83±nan,,,,,,
50.52,50.52±nan,,,,,,
51.56,51.56±nan,,,,,,
89.58,89.58±nan,,,,,,
23.96,23.96±nan,,,,,,
60.94,60.94±nan,,,,,,
51.04,51.04±nan,,,,,,
47.74,47.74±18.85,,,,,,
