Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
70.31,70.31±nan,100.0,64.0,0.001,0.0001,True,40.0
81.25,81.25±nan,,,,,,
98.96,98.96±nan,,,,,,
81.77,81.77±nan,,,,,,
85.94,85.94±nan,,,,,,
98.44,98.44±nan,,,,,,
86.46,86.46±nan,,,,,,
77.08,77.08±nan,,,,,,
69.27,69.27±nan,,,,,,
89.58,89.58±nan,,,,,,
21.88,21.88±nan,,,,,,
64.06,64.06±nan,,,,,,
62.50,62.50±nan,,,,,,
77.60,77.60±nan,,,,,,
90.10,90.10±nan,,,,,,
69.27,69.27±nan,,,,,,
78.12,78.12±nan,,,,,,
72.92,72.92±nan,,,,,,
61.98,61.98±nan,,,,,,
80.73,80.73±nan,,,,,,
63.02,63.02±nan,,,,,,
95.83,95.83±nan,,,,,,
41.15,41.15±nan,,,,,,
93.75,93.75±nan,,,,,,
91.67,91.67±nan,,,,,,
81.25,81.25±nan,,,,,,
77.08,77.08±nan,,,,,,
90.10,90.10±nan,,,,,,
37.50,37.50±nan,,,,,,
73.96,73.96±nan,,,,,,
86.98,86.98±nan,,,,,,
99.48,99.48±nan,,,,,,
31.25,31.25±nan,,,,,,
93.75,93.75±nan,,,,,,
92.19,92.19±nan,,,,,,
76.21,76.21±18.97,,,,,,
