Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
49.48,49.48±nan,100.0,64.0,0.001,0.0001,True,40.0
48.44,48.44±nan,,,,,,
80.21,80.21±nan,,,,,,
39.58,39.58±nan,,,,,,
34.38,34.38±nan,,,,,,
61.46,61.46±nan,,,,,,
41.15,41.15±nan,,,,,,
32.81,32.81±nan,,,,,,
37.50,37.50±nan,,,,,,
48.44,48.44±nan,,,,,,
11.98,11.98±nan,,,,,,
19.79,19.79±nan,,,,,,
16.67,16.67±nan,,,,,,
27.60,27.60±nan,,,,,,
48.96,48.96±nan,,,,,,
37.50,37.50±nan,,,,,,
36.98,36.98±nan,,,,,,
59.90,59.90±nan,,,,,,
22.92,22.92±nan,,,,,,
34.38,34.38±nan,,,,,,
17.71,17.71±nan,,,,,,
66.67,66.67±nan,,,,,,
14.58,14.58±nan,,,,,,
60.42,60.42±nan,,,,,,
32.29,32.29±nan,,,,,,
40.10,40.10±nan,,,,,,
30.21,30.21±nan,,,,,,
53.12,53.12±nan,,,,,,
16.67,16.67±nan,,,,,,
43.75,43.75±nan,,,,,,
39.58,39.58±nan,,,,,,
82.81,82.81±nan,,,,,,
25.00,25.00±nan,,,,,,
55.73,55.73±nan,,,,,,
43.75,43.75±nan,,,,,,
40.36,40.36±17.39,,,,,,
