Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
65.10,65.10±nan,100.0,64.0,0.001,0.0001,True,40.0
55.21,55.21±nan,,,,,,
92.71,92.71±nan,,,,,,
63.02,63.02±nan,,,,,,
50.00,50.00±nan,,,,,,
82.29,82.29±nan,,,,,,
62.50,62.50±nan,,,,,,
48.96,48.96±nan,,,,,,
48.96,48.96±nan,,,,,,
66.15,66.15±nan,,,,,,
12.50,12.50±nan,,,,,,
36.98,36.98±nan,,,,,,
27.60,27.60±nan,,,,,,
63.02,63.02±nan,,,,,,
64.58,64.58±nan,,,,,,
45.83,45.83±nan,,,,,,
53.65,53.65±nan,,,,,,
69.27,69.27±nan,,,,,,
36.46,36.46±nan,,,,,,
46.35,46.35±nan,,,,,,
29.17,29.17±nan,,,,,,
84.38,84.38±nan,,,,,,
23.44,23.44±nan,,,,,,
80.21,80.21±nan,,,,,,
63.02,63.02±nan,,,,,,
64.58,64.58±nan,,,,,,
53.65,53.65±nan,,,,,,
70.83,70.83±nan,,,,,,
23.96,23.96±nan,,,,,,
57.29,57.29±nan,,,,,,
57.29,57.29±nan,,,,,,
91.67,91.67±nan,,,,,,
23.96,23.96±nan,,,,,,
70.31,70.31±nan,,,,,,
61.98,61.98±nan,,,,,,
55.63,55.63±19.62,,,,,,
