Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
70.31,70.31±nan,100.0,64.0,0.001,0.0001,True,40.0
72.92,72.92±nan,,,,,,
96.88,96.88±nan,,,,,,
78.12,78.12±nan,,,,,,
76.56,76.56±nan,,,,,,
94.27,94.27±nan,,,,,,
81.25,81.25±nan,,,,,,
72.92,72.92±nan,,,,,,
63.54,63.54±nan,,,,,,
84.38,84.38±nan,,,,,,
18.75,18.75±nan,,,,,,
54.69,54.69±nan,,,,,,
54.69,54.69±nan,,,,,,
76.04,76.04±nan,,,,,,
82.81,82.81±nan,,,,,,
64.58,64.58±nan,,,,,,
72.92,72.92±nan,,,,,,
71.88,71.88±nan,,,,,,
57.29,57.29±nan,,,,,,
67.71,67.71±nan,,,,,,
56.77,56.77±nan,,,,,,
96.35,96.35±nan,,,,,,
35.42,35.42±nan,,,,,,
94.27,94.27±nan,,,,,,
83.85,83.85±nan,,,,,,
75.52,75.52±nan,,,,,,
69.79,69.79±nan,,,,,,
86.98,86.98±nan,,,,,,
32.29,32.29±nan,,,,,,
69.27,69.27±nan,,,,,,
82.29,82.29±nan,,,,,,
99.48,99.48±nan,,,,,,
30.73,30.73±nan,,,,,,
90.62,90.62±nan,,,,,,
88.54,88.54±nan,,,,,,
71.56,71.56±19.38,,,,,,
