Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter,stimulus_type
69.27,69.27±nan,100.0,64.0,0.001,0.0001,True,40.0
63.02,63.02±nan,,,,,,
96.35,96.35±nan,,,,,,
67.71,67.71±nan,,,,,,
64.06,64.06±nan,,,,,,
89.58,89.58±nan,,,,,,
71.35,71.35±nan,,,,,,
62.50,62.50±nan,,,,,,
58.33,58.33±nan,,,,,,
76.56,76.56±nan,,,,,,
13.54,13.54±nan,,,,,,
45.83,45.83±nan,,,,,,
42.71,42.71±nan,,,,,,
71.35,71.35±nan,,,,,,
74.48,74.48±nan,,,,,,
56.25,56.25±nan,,,,,,
58.33,58.33±nan,,,,,,
72.92,72.92±nan,,,,,,
46.35,46.35±nan,,,,,,
57.81,57.81±nan,,,,,,
45.31,45.31±nan,,,,,,
93.75,93.75±nan,,,,,,
25.52,25.52±nan,,,,,,
90.10,90.10±nan,,,,,,
72.92,72.92±nan,,,,,,
76.56,76.56±nan,,,,,,
63.54,63.54±nan,,,,,,
82.29,82.29±nan,,,,,,
28.12,28.12±nan,,,,,,
62.50,62.50±nan,,,,,,
69.79,69.79±nan,,,,,,
96.88,96.88±nan,,,,,,
25.52,25.52±nan,,,,,,
82.29,82.29±nan,,,,,,
72.40,72.40±nan,,,,,,
64.17,64.17±20.19,,,,,,
