Fold1,Mean±Std
82.50,82.50±nan
24.17,24.17±nan
99.17,99.17±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
100.00,100.00±nan
95.00,95.00±nan
90.08,90.08±22.58
