Fold1,Mean±Std
80.73,80.73±nan
89.58,89.58±nan
97.92,97.92±nan
79.69,79.69±nan
76.56,76.56±nan
94.27,94.27±nan
80.73,80.73±nan
70.31,70.31±nan
68.23,68.23±nan
89.06,89.06±nan
15.10,15.10±nan
68.23,68.23±nan
53.12,53.12±nan
77.60,77.60±nan
76.04,76.04±nan
67.71,67.71±nan
81.25,81.25±nan
72.40,72.40±nan
47.92,47.92±nan
76.04,76.04±nan
48.96,48.96±nan
93.75,93.75±nan
39.06,39.06±nan
91.67,91.67±nan
86.98,86.98±nan
93.23,93.23±nan
81.25,81.25±nan
91.15,91.15±nan
36.98,36.98±nan
83.85,83.85±nan
85.94,85.94±nan
99.48,99.48±nan
40.10,40.10±nan
88.02,88.02±nan
77.08,77.08±nan
74.29,74.29±19.57
