Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
62.50,62.50±nan,100.0,64.0,0.001,0.0001,True
64.06,64.06±nan,,,,,
97.40,97.40±nan,,,,,
59.90,59.90±nan,,,,,
51.04,51.04±nan,,,,,
86.46,86.46±nan,,,,,
57.81,57.81±nan,,,,,
51.04,51.04±nan,,,,,
43.23,43.23±nan,,,,,
79.17,79.17±nan,,,,,
8.33,8.33±nan,,,,,
55.73,55.73±nan,,,,,
26.56,26.56±nan,,,,,
47.92,47.92±nan,,,,,
66.67,66.67±nan,,,,,
53.65,53.65±nan,,,,,
51.56,51.56±nan,,,,,
55.21,55.21±nan,,,,,
38.54,38.54±nan,,,,,
61.46,61.46±nan,,,,,
26.56,26.56±nan,,,,,
83.33,83.33±nan,,,,,
26.56,26.56±nan,,,,,
71.35,71.35±nan,,,,,
77.60,77.60±nan,,,,,
75.00,75.00±nan,,,,,
65.62,65.62±nan,,,,,
69.79,69.79±nan,,,,,
20.31,20.31±nan,,,,,
69.27,69.27±nan,,,,,
60.94,60.94±nan,,,,,
96.88,96.88±nan,,,,,
20.83,20.83±nan,,,,,
65.62,65.62±nan,,,,,
67.71,67.71±nan,,,,,
57.59,57.59±21.07,,,,,
