Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
52.08,52.08±nan,100.0,64.0,0.001,0.0001,True
46.88,46.88±nan,,,,,
88.54,88.54±nan,,,,,
42.19,42.19±nan,,,,,
30.21,30.21±nan,,,,,
53.65,53.65±nan,,,,,
34.90,34.90±nan,,,,,
22.92,22.92±nan,,,,,
26.56,26.56±nan,,,,,
3.12,3.12±nan,,,,,
5.73,5.73±nan,,,,,
28.65,28.65±nan,,,,,
11.98,11.98±nan,,,,,
5.73,5.73±nan,,,,,
45.83,45.83±nan,,,,,
33.85,33.85±nan,,,,,
29.17,29.17±nan,,,,,
50.52,50.52±nan,,,,,
20.83,20.83±nan,,,,,
3.12,3.12±nan,,,,,
16.67,16.67±nan,,,,,
56.77,56.77±nan,,,,,
16.67,16.67±nan,,,,,
52.60,52.60±nan,,,,,
43.75,43.75±nan,,,,,
43.75,43.75±nan,,,,,
32.81,32.81±nan,,,,,
51.04,51.04±nan,,,,,
10.94,10.94±nan,,,,,
3.65,3.65±nan,,,,,
35.94,35.94±nan,,,,,
80.73,80.73±nan,,,,,
17.71,17.71±nan,,,,,
47.92,47.92±nan,,,,,
39.58,39.58±nan,,,,,
33.91,33.91±20.58,,,,,
