Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
63.02,63.02±nan,100.0,64.0,0.001,0.0001,True
80.73,80.73±nan,,,,,
98.96,98.96±nan,,,,,
74.48,74.48±nan,,,,,
67.19,67.19±nan,,,,,
95.31,95.31±nan,,,,,
75.52,75.52±nan,,,,,
66.67,66.67±nan,,,,,
53.65,53.65±nan,,,,,
88.54,88.54±nan,,,,,
14.58,14.58±nan,,,,,
73.96,73.96±nan,,,,,
47.92,47.92±nan,,,,,
67.19,67.19±nan,,,,,
82.29,82.29±nan,,,,,
71.35,71.35±nan,,,,,
67.71,67.71±nan,,,,,
58.33,58.33±nan,,,,,
52.08,52.08±nan,,,,,
72.40,72.40±nan,,,,,
50.52,50.52±nan,,,,,
92.19,92.19±nan,,,,,
36.46,36.46±nan,,,,,
89.06,89.06±nan,,,,,
85.94,85.94±nan,,,,,
83.85,83.85±nan,,,,,
78.12,78.12±nan,,,,,
83.85,83.85±nan,,,,,
25.00,25.00±nan,,,,,
72.40,72.40±nan,,,,,
83.85,83.85±nan,,,,,
100.00,100.00±nan,,,,,
27.08,27.08±nan,,,,,
82.29,82.29±nan,,,,,
87.50,87.50±nan,,,,,
70.00,70.00±20.71,,,,,
