Fold1,Mean±Std,epochs,bz,lr,wd,lr_jitter
51.04,51.04±nan,100.0,64.0,0.001,0.0001,True
48.44,48.44±nan,,,,,
87.50,87.50±nan,,,,,
52.08,52.08±nan,,,,,
34.38,34.38±nan,,,,,
60.42,60.42±nan,,,,,
38.02,38.02±nan,,,,,
25.00,25.00±nan,,,,,
31.77,31.77±nan,,,,,
60.42,60.42±nan,,,,,
7.29,7.29±nan,,,,,
34.38,34.38±nan,,,,,
13.02,13.02±nan,,,,,
3.12,3.12±nan,,,,,
47.40,47.40±nan,,,,,
36.98,36.98±nan,,,,,
29.17,29.17±nan,,,,,
51.56,51.56±nan,,,,,
25.00,25.00±nan,,,,,
41.67,41.67±nan,,,,,
15.62,15.62±nan,,,,,
3.12,3.12±nan,,,,,
19.79,19.79±nan,,,,,
58.33,58.33±nan,,,,,
3.12,3.12±nan,,,,,
54.69,54.69±nan,,,,,
3.65,3.65±nan,,,,,
53.65,53.65±nan,,,,,
15.10,15.10±nan,,,,,
51.04,51.04±nan,,,,,
40.62,40.62±nan,,,,,
3.12,3.12±nan,,,,,
22.40,22.40±nan,,,,,
46.88,46.88±nan,,,,,
45.83,45.83±nan,,,,,
34.73,34.73±20.56,,,,,
